Number,Name,Description,Price,Image Url
0,Mercedes-Benz C-Класс,"2004 г., 1.8 л., автомат, седан, бензин, руль слева, 125 000 км",$ 9 500,https://im.mashina.kg/tachka/images//1/b/d/1bd151e65b0e06512c802b42860a66a7_240x180.jpg
1,BMW X7,"2019 г., 4.4 л., автомат, внедорожник 5 дв., бензин, руль слева, 53 000 км",$ 103 000,https://im.mashina.kg/tachka/images//b/7/c/b7c86b439d161d52f5b981eed6222289_240x180.jpg
2,Toyota Camry,"2021 г., 2.5 л., автомат, седан, бензин, руль слева, 27 777 км",$ 26 999,https://im.mashina.kg/tachka/images//f/e/7/fe74bac743aa58435816afa99c78b9bb_240x180.jpg
3,Kia Rio,"2020 г., 1.6 л., автомат, седан, бензин, руль слева, 50 000 км",$ 16 900,https://im.mashina.kg/tachka/images//2/a/c/2ac6a20003f9bf03c56e63d0e447024c_240x180.jpg
4,Toyota RAV4,"2022 г., 2.5 л., автомат, внедорожник 5 дв., бензин, руль слева, 50 км",$ 50 000,https://im.mashina.kg/tachka/images//8/3/1/8318bdfef1d3372925f47b7e30b75776_240x180.jpg
5,Kia K5 III Седан,"2020 г., 2 л., автомат, седан, бензин, руль слева, 54 400 км",$ 36 000,https://im.mashina.kg/tachka/images//0/2/f/02fd864572ebd59fa89b8388618eab49_240x180.jpg
6,Honda Accord,"2000 г., 1.8 л., механика, седан, бензин, руль слева, 300 000 км",$ 5 000,https://im.mashina.kg/tachka/images//8/6/f/86fcdb1a5bf0863066db01c2b44a4fed_240x180.jpg
7,Lexus RX,"2020 г., 3.5 л., вариатор, внедорожник 5 дв., гибрид, руль слева, 40 000 км",$ 66 000,https://im.mashina.kg/tachka/images//3/4/6/34641fa63446319343cafcde6a7597ac_240x180.jpg
8,BMW 3 серии,"2014 г., 2 л., автомат, седан, бензин, руль слева, 138 000 км",$ 16 900,https://im.mashina.kg/tachka/images//7/f/8/7f8b93ec41d9dca6336f59ce2292c90d_240x180.jpg
9,Toyota Camry,"2018 г., 2.5 л., автомат, седан, бензин, руль слева, 35 000 км",$ 27 000,https://im.mashina.kg/tachka/images//7/d/5/7d50640cf6d92cd004d15e41f7c8f503_240x180.jpg
10,BMW 5 серии,"2008 г., 3 л., автомат, седан, бензин, руль слева, 268 000 км",$ 11 800,https://im.mashina.kg/tachka/images//f/6/3/f638c2b4b188faa56437a72b02d5fea4_240x180.jpg
11,Lexus RX,"2017 г., 3.5 л., вариатор, внедорожник 5 дв., гибрид, руль слева, 66 500 км",$ 52 500,https://im.mashina.kg/tachka/images//5/e/7/5e726037eef98503ba86c6cb49909f3f_240x180.jpg
12,Ravon R4,"2017 г., 1.5 л., автомат, седан, бензин, руль слева, 40 000 км",$ 10 800,https://im.mashina.kg/tachka/images//5/b/5/5b577b1566c9fa587874c90f6b87a37c_240x180.jpg
13,BMW X5,"2017 г., 3 л., автомат, внедорожник 5 дв., дизель, руль слева, 150 000 км",$ 49 500,https://im.mashina.kg/tachka/images//a/3/6/a36fb2df832fc46d06c6913b3f27e1a5_240x180.jpg
14,Toyota 4Runner,"2017 г., 4 л., автомат, внедорожник 5 дв., бензин, руль слева, 120 000 км",$ 37 500,https://im.mashina.kg/tachka/images//6/f/3/6f3d18909acce96e97b39456bd181437_240x180.jpg
15,Honda M-NV,"2022 г., автомат, внедорожник 5 дв., электро, руль слева, 100 км",$ 21 800,https://im.mashina.kg/tachka/images//f/9/6/f96de6b4eb520875c197bd6449c90a29_240x180.jpg
16,Kia Carnival,"2017 г., 2.2 л., автомат, минивэн, дизель, руль слева, 136 000 км",$ 25 500,https://im.mashina.kg/tachka/images//e/d/2/ed2079903b9635b5c1f9bf74f6fca855_240x180.jpg
17,Toyota Corolla,"2022 г., 1.8 л., вариатор, седан, гибрид, руль слева, 5 000 км",$ 26 000,https://im.mashina.kg/tachka/images//3/a/9/3a96b0f7a6f67bef3cfdea5a2db1f7aa_240x180.jpg
18,Buick LaCrosse,"2022 г., 2 л., автомат, седан, бензин, руль слева, 600 км",$ 44 000,https://im.mashina.kg/tachka/images//a/5/3/a538a87c9100f7184393fb1782fbfc88_240x180.jpg
19,Hyundai Sonata,"2016 г., 2 л., автомат, седан, газ, руль слева, 289 000 км",$ 12 200,https://im.mashina.kg/tachka/images//d/1/f/d1f49e3deb476996088a480d0e09f5bb_240x180.jpg
